real time,program time,ax,ay,az,gx,gy,gz,mx,my,mz
Thu Jun  8 21:35:03 2017[1A,0,0.0766145,0.0670376,10.3142,0.00532112,0.00212845,0.00106422,-3478.72,76.6992,22.275
Thu Jun  8 21:35:03 2017[1A,506377,0.105345,-0.0335188,10.2376,0.00744957,0.00638535,-0.00212845,74.1727,64.7883,22.449
Thu Jun  8 21:35:03 2017[1A,1012723,0.316035,0.172383,10.2472,0.0180918,0.00212845,-0.00532112,73.2703,63.1641,21.5789
Thu Jun  8 21:35:03 2017[1A,1519084,0.11971,0.0909797,10.386,0.0106422,0.00319267,-0.00106422,73.0898,61.5398,21.4049
Thu Jun  8 21:35:03 2017[1A,2025531,0.0766145,-0.0430956,10.3046,0.00744957,0.0042569,-0.00319267,74.3531,64.2469,22.623
Thu Jun  8 21:35:03 2017[1A,2537100,0.124498,0.0335188,10.319,0.00638535,0.0042569,-0.00532112,72.9094,63.1641,22.9711
Thu Jun  8 21:35:03 2017[1A,3044781,-0.00957681,-0.0191536,10.2759,0.00851379,0.00638535,0.00212845,75.6164,63.3445,21.4049
Thu Jun  8 21:35:03 2017[1A,3551541,-0.105345,0.177171,9.7444,-0.00212845,-0.0117065,-0.00106422,71.8266,63.1641,21.927
Thu Jun  8 21:35:03 2017[1A,4058360,0.0526724,0.172383,10.3142,0.0117065,0.00638535,-0.0042569,73.2703,62.0812,22.275
Thu Jun  8 21:35:03 2017[1A,4565161,0.234632,0.129287,10.0844,0.00851379,0,-0.00106422,74.7141,63.8859,21.2309
Thu Jun  8 21:35:03 2017[1A,5073733,0.162806,0.114922,10.2711,0.00744957,0.00106422,-0.00212845,73.6312,62.4422,20.1867
Thu Jun  8 21:35:03 2017[1A,5580760,0.0957681,-0.0430956,10.1083,0.00744957,-0.00106422,0.00212845,72.007,63.7055,21.7529
Thu Jun  8 21:35:03 2017[1A,6087652,0.0622492,-0.0047884,10.3908,0.0117065,0,0.00319267,73.9922,63.525,22.9711
Thu Jun  8 21:35:03 2017[1A,6594589,0.0526724,-0.0335188,10.3286,0.00851379,0.00106422,-0.00744957,73.8117,62.9836,21.7529
Thu Jun  8 21:35:03 2017[1A,7101618,0.153229,0.0383072,10.4579,0.00744957,-0.00106422,-0.00319267,72.9094,62.0812,22.275
Thu Jun  8 21:35:03 2017[1A,7608617,0.153229,0.100556,10.4244,0.00638535,0.00851379,-0,73.4508,64.0664,21.7529
Thu Jun  8 21:35:03 2017[1A,8115745,0.134075,-0.0430956,10.4052,0.00957802,0.00744957,0.00106422,72.9094,63.525,22.275
Thu Jun  8 21:35:03 2017[1A,8622808,0.205901,-0.196325,10.7883,0.0042569,0.00851379,0.00106422,72.9094,63.1641,22.275
Thu Jun  8 21:35:03 2017[1A,9130014,0.23942,0.0287304,10.5153,0.00957802,0.00638535,-0.00319267,72.9094,62.8031,22.275
Thu Jun  8 21:35:03 2017[1A,9637206,0.172383,0.0622492,10.4004,0.00532112,0.00744957,-0.00212845,72.9094,62.8031,22.275
Thu Jun  8 21:35:03 2017[1A,10144424,0.110133,0.124498,10.0556,0.00851379,0,0.00106422,73.9922,63.8859,21.2309
Thu Jun  8 21:35:03 2017[1A,10651684,0.134075,0.00957681,10.3142,0.00851379,0,0.00319267,73.0898,62.9836,20.7088
Thu Jun  8 21:35:03 2017[1A,11158938,0.124498,0.0383072,10.137,0.00638535,0.00319267,-0.00212845,73.4508,61.9008,22.101
Thu Jun  8 21:35:03 2017[1A,11666348,0.167594,-0.00957681,10.1514,0.00957802,-0.00106422,-0.00106422,75.9773,65.1492,22.101
Thu Jun  8 21:35:03 2017[1A,12173699,0.158017,0.0383072,10.4818,0.00957802,0,-0.00106422,72.9094,63.1641,21.5789
Thu Jun  8 21:35:03 2017[1A,12681150,0.047884,-0.0191536,10.2424,0.00744957,0.00744957,-0.00319267,73.2703,62.0812,21.5789
Thu Jun  8 21:35:03 2017[1A,13188664,0.129287,0.023942,10.3765,0.00638535,0.00212845,0.00212845,74.3531,61.3594,21.2309
Thu Jun  8 21:35:03 2017[1A,13696114,0.0814029,0.110133,10.319,0.00744957,0.00532112,0.00319267,73.6312,63.525,22.275
Thu Jun  8 21:35:03 2017[1A,14203704,0.100556,-0.0287304,10.4244,0.00319267,-0.00212845,-0.0042569,73.0898,63.3445,21.4049
Thu Jun  8 21:35:03 2017[1A,14711220,0.105345,0.0335188,10.0317,0.0042569,0.00212845,-0.00106422,72.7289,64.0664,23.4932
Thu Jun  8 21:35:03 2017[1A,15218921,0.114922,0.0670376,10.4148,0.00957802,0.00212845,-0.00319267,73.6312,63.525,22.275
Thu Jun  8 21:35:03 2017[1A,15726652,0.0909797,0.0909797,10.4914,0.00638535,0.0042569,0.00106422,73.8117,64.7883,20.3607
Thu Jun  8 21:35:03 2017[1A,16234460,0.129287,-0.047884,10.4962,0.0042569,0.00851379,-0.00212845,74.7141,64.2469,21.5789
Thu Jun  8 21:35:03 2017[1A,16742322,0.114922,0.0191536,10.1418,0.00212845,0.00106422,-0.00212845,74.3531,63.8859,20.5348
Thu Jun  8 21:35:03 2017[1A,17249959,0.258574,-0.162806,10.6398,0.00851379,0.0106422,-0,74.1727,62.6227,21.4049
Thu Jun  8 21:35:03 2017[1A,17757780,0.215478,-0.0143652,10.343,0.0106422,0.00212845,0.00106422,73.4508,63.3445,22.101
